Id;FilmAdi;Aciklama;Sure
1;"The Shawshank Redemption";"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.";120
2;"Back to the Future";"Marty McFly, a 17-year-old high school student, is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown.";150
3;"Forrest Gump";"Forrest Gump, while not intelligent, has accidentally been present at many historic moments, but his true love, Jenny Curran, eludes him.";150
4;"Fight Club";"An insomniac office worker, looking for a way to change his life, crosses paths with a devil-may-care soap maker, forming an underground fight club that evolves into something much, much more.";120
5;"The Lion King";"Lion cub and future king Simba searches for his identity. His eagerness to please others and penchant for testing his boundaries sometimes gets him into trouble.";130
6;"Back to the Future 2";"After visiting 2015, Marty McFly must repeat his visit to 1955 to prevent disastrous changes to 1985...without interfering with his first trip.";130
7;"The Truman Show";"An insurance salesman/adjuster discovers his entire life is actually a television show.";130
8;"Ice Age";"Set during the Ice Age, a sabertooth tiger, a sloth, and a wooly mammoth find a lost human infant, and they try to return him to his tribe.";130
9;"The Green Mile";"The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift.";130
10;"Back to the Future 3";"Enjoying a peaceable existence in 1885, Doctor Emmet Brown is about to be killed by Buford ""Mad Dog"" Tannen. Marty McFly travels back in time to save his friend.";130
11;"The Matrix";"A computer hacker learns from mysterious rebels about the true nature of his reality and his role in the war against its controllers.";130
